_ID_;_MODEL_;_OPTIONS_
12317;"11747/747 бюст sale";"select|Размер|90D|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|85C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|80F|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|80D|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
image|Цвет|Белый|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/white.jpg
image|Цвет|Черный|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/black.jpg"
12318;"11748 бюст sale";"image|Цвет|Белый|1|10|1|+|0.0000|+|0|+|0.00000000|data/colors/white.jpg
select|Размер|80C|1|10|1|+|0.0000|+|0|+|0.00000000|no_image.jpg"
12319;"Konrad Viki p-up sale";select|Размер|75D|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
12320;"Alles Calais p-up sale";"select|Размер|70C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
image|Цвет|Шампанский|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/shampanskij.jpg"
12321;"Alles Carla p-up sale";select|Размер|70C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
12323;"Alles Garden push-up granat sale";select|Размер|75B|1|10|0|+|0.0000|+|0|+|0.00000000|no_image.jpg
12324;"Alles Infini p-up sale";select|Размер|80B|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
12325;"Alles Isabella p-up sale";select|Размер|70C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
12326;"Alles Izis p-up sale";"select|Размер|80B|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|75C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg"
12327;"Alles Latino p-up sale";"image|Цвет|Белый|1|1|0|+|0.0000|+|0|+|0.00000000|data/colors/white.jpg
image|Цвет|Черный|1|10|1|+|0.0000|+|0|+|0.00000000|data/colors/black.jpg
select|Размер|75C|1|10|1|+|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|70B|1|10|0|+|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|70A|1|10|0|+|0.0000|+|0|+|0.00000000|no_image.jpg"
