_ID_;_NAME_;_STATUS_;_OPTIONS_
12327;"Атласный бюстгальтер пуш-ап на шнуровке Alles Latino";1;"select|Размер|75C|1|10|1|+|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|70B|1|10|0|+|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|70A|1|10|0|+|0.0000|+|0|+|0.00000000|no_image.jpg
image|Цвет|Черный|1|10|1|+|0.0000|+|0|+|0.00000000|data/colors/black.jpg
image|Цвет|Белый|1|1|0|+|0.0000|+|0|+|0.00000000|data/colors/white.jpg"
12328;"Кружевной бюстгальтер пуш-ап нежно-розового цвета Alles Monserat";1;"select|Размер|70B|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
image|Цвет|Светло-розовый|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/light_pink.jpg"
12329;"Бюстгальтер пуш-ап с цветочным рисунком Alles Obsession";1;select|Размер|70C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
12332;"Кружевной бюстгальтер пуш-ап Ava 1305 Virginia";1;select|Размер|70C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
12333;"Кружевной бюстгальтер пуш-ап Corin Bella 14860 black";1;"image|Цвет|Черный|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/black.jpg
select|Размер|75B|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg"
12334;"Кружевной бюстгальтер пуш-ап Corin Jenny 14862 red";1;"image|Цвет|Красный|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/red.jpg
select|Размер|75C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|70C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg"
12335;"Кружевной бюстгальтер пуш-ап Kinga 142 Corona";1;"select|Размер|75B|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|70C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg"
12336;"Кружевной бюстгальтер пуш-ап Kinga 2372";1;"select|Размер|70A|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
image|Цвет|Белый|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/white.jpg"
12337;"Бюстгальтер пуш-ап с кружевными бретелями Kinga 247 Malaga";1;select|Размер|70C|1|10|1|+|0.0000|+|0|+|0.00000000|no_image.jpg
12340;"Атласный бюстгальтер пуш-ап с кружевом Kinga 2496 Palace";1;select|Размер|75B|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
12341;"Бюстгальтер пуш-ап с сетчатым кружевом Kinga 2500 End";1;"select|Размер|75C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|75B|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg"
12342;"Бюстгальтер пуш-ап с вышитым кружевом Kinga 2524 Vivienne";1;select|Размер|75C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
